Cell_type,Cell_Counts
Colonocyte,51235
TA,14930
BEST2+ Goblet cell,11444
Stromal 2 (NPY+),6813
Stromal 1 (ADAMDEC1+),5626
Stromal 1 (CCL11+),5193
BEST4+ epithelial,2801
Mature venous EC,2457
T reticular,2101
arterial capillary,1814
Goblet cell,1714
Enterocyte,1513
Tuft,1488
Adult Glia,1478
myofibroblast,1189
IgA plasma cell,1182
Stromal 4 (MMP1+),1111
Pericyte,1039
Mature arterial EC,702
Stromal 3 (C7+),347
Microfold cell,301
myofibroblast (RSPO2+),294
Contractile pericyte (PLN+),277
LEC1 (ACKR4+),237
mLTo,185
EC cells (TAC1+),125
Stem cells,123
venous capillary,118
FDC,111
SMC (PLPP2+),103
cDC2,81
Mesoderm 1 (HAND1+),70
Fetal arterial EC,63
Transitional Stromal 3 (C3+),56
Mesoderm 2 (ZEB2+),46
mLN Stroma (FMO2+),41
Activated T,37
D cells (SST+),30
Mast cell,28
Mesothelium,27
RBC,25
Immature pericyte,23
Stromal 2 (CH25H+),22
Paneth,14
Cycling B cell,13
Fetal venous EC,13
MPO+ mono-neutrophil,10
