dataset,celltype,pr_auc
UC1_UC2,Mature venous EC,0.939
UC1_UC2,Mature venous EC,0.939
UC1_UC2,Mature venous EC,0.938
UC1_UC2,Mature venous EC,0.944
UC1_UC2,Mature venous EC,0.946
UC1_UC2,Mature venous EC,0.944
UC1_UC2,Mature venous EC,0.919
UC1_UC2,Mature venous EC,0.918
UC1_UC2,Mature venous EC,0.943
UC1_UC2,Mature venous EC,0.942
UC1_UC2,Adult Glia,0.704
UC1_UC2,Adult Glia,0.777
UC1_UC2,Adult Glia,0.755
UC1_UC2,Adult Glia,0.73
UC1_UC2,Adult Glia,0.808
UC1_UC2,Adult Glia,0.729
UC1_UC2,Adult Glia,0.687
UC1_UC2,Adult Glia,0.785
UC1_UC2,Adult Glia,0.758
UC1_UC2,Adult Glia,0.732
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.054
UC1_UC2,IgA plasma cell,0.054
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,IgA plasma cell,0.066
UC1_UC2,IgA plasma cell,0.055
UC1_UC2,Stromal 4 (MMP1+),0.932
UC1_UC2,Stromal 4 (MMP1+),0.936
UC1_UC2,Stromal 4 (MMP1+),0.943
UC1_UC2,Stromal 4 (MMP1+),0.926
UC1_UC2,Stromal 4 (MMP1+),0.925
UC1_UC2,Stromal 4 (MMP1+),0.952
UC1_UC2,Stromal 4 (MMP1+),0.966
UC1_UC2,Stromal 4 (MMP1+),0.963
UC1_UC2,Stromal 4 (MMP1+),0.923
UC1_UC2,Stromal 4 (MMP1+),0.931
UC1_UC2,Contractile pericyte (PLN+),0.689
UC1_UC2,Contractile pericyte (PLN+),0.768
UC1_UC2,Contractile pericyte (PLN+),0.748
UC1_UC2,Contractile pericyte (PLN+),0.738
UC1_UC2,Contractile pericyte (PLN+),0.754
UC1_UC2,Contractile pericyte (PLN+),0.74
UC1_UC2,Contractile pericyte (PLN+),0.713
UC1_UC2,Contractile pericyte (PLN+),0.763
UC1_UC2,Contractile pericyte (PLN+),0.793
UC1_UC2,Contractile pericyte (PLN+),0.792
UC1_UC2,Fetal venous EC,0.662
UC1_UC2,Fetal venous EC,0.938
UC1_UC2,Fetal venous EC,0.743
UC1_UC2,Fetal venous EC,0.769
UC1_UC2,Fetal venous EC,0.648
UC1_UC2,Fetal venous EC,0.662
UC1_UC2,Fetal venous EC,0.648
UC1_UC2,Fetal venous EC,0.722
UC1_UC2,Fetal venous EC,0.756
UC1_UC2,Fetal venous EC,0.637
UC1_UC2,Mature arterial EC,0.927
UC1_UC2,Mature arterial EC,0.883
UC1_UC2,Mature arterial EC,0.942
UC1_UC2,Mature arterial EC,0.94
UC1_UC2,Mature arterial EC,0.975
UC1_UC2,Mature arterial EC,0.89
UC1_UC2,Mature arterial EC,0.914
UC1_UC2,Mature arterial EC,0.89
UC1_UC2,Mature arterial EC,0.929
UC1_UC2,Mature arterial EC,0.903
UC1_UC2,Stromal 2 (NPY+),0.77
UC1_UC2,Stromal 2 (NPY+),0.776
UC1_UC2,Stromal 2 (NPY+),0.78
UC1_UC2,Stromal 2 (NPY+),0.74
UC1_UC2,Stromal 2 (NPY+),0.746
UC1_UC2,Stromal 2 (NPY+),0.714
UC1_UC2,Stromal 2 (NPY+),0.619
UC1_UC2,Stromal 2 (NPY+),0.706
UC1_UC2,Stromal 2 (NPY+),0.706
UC1_UC2,Stromal 2 (NPY+),0.842
UC1_UC2,mLTo,0.565
UC1_UC2,mLTo,0.514
UC1_UC2,mLTo,0.565
UC1_UC2,mLTo,0.75
UC1_UC2,mLTo,0.657
UC1_UC2,mLTo,0.512
UC1_UC2,mLTo,0.517
UC1_UC2,mLTo,0.542
UC1_UC2,mLTo,0.576
UC1_UC2,mLTo,0.5
UC1_UC2,Pericyte,0.946
UC1_UC2,Pericyte,0.967
UC1_UC2,Pericyte,0.962
UC1_UC2,Pericyte,0.967
UC1_UC2,Pericyte,0.966
UC1_UC2,Pericyte,0.968
UC1_UC2,Pericyte,0.94
UC1_UC2,Pericyte,0.945
UC1_UC2,Pericyte,0.947
UC1_UC2,Pericyte,0.96
UC1_UC2,Fetal arterial EC,0.786
UC1_UC2,Fetal arterial EC,0.786
UC1_UC2,Fetal arterial EC,0.733
UC1_UC2,Fetal arterial EC,0.786
UC1_UC2,Fetal arterial EC,0.758
UC1_UC2,Fetal arterial EC,0.751
UC1_UC2,Fetal arterial EC,0.962
UC1_UC2,Fetal arterial EC,0.915
UC1_UC2,Fetal arterial EC,0.822
UC1_UC2,Fetal arterial EC,0.917
UC1_UC2,Stromal 1 (ADAMDEC1+),0.786
UC1_UC2,Stromal 1 (ADAMDEC1+),0.597
UC1_UC2,Stromal 1 (ADAMDEC1+),0.575
UC1_UC2,Stromal 1 (ADAMDEC1+),0.792
UC1_UC2,Stromal 1 (ADAMDEC1+),0.591
UC1_UC2,Stromal 1 (ADAMDEC1+),0.59
UC1_UC2,Stromal 1 (ADAMDEC1+),0.591
UC1_UC2,Stromal 1 (ADAMDEC1+),0.59
UC1_UC2,Stromal 1 (ADAMDEC1+),0.576
UC1_UC2,Stromal 1 (ADAMDEC1+),0.589
UC1_UC2,T reticular,0.763
UC1_UC2,T reticular,0.764
UC1_UC2,T reticular,0.655
UC1_UC2,T reticular,0.655
UC1_UC2,T reticular,0.651
UC1_UC2,T reticular,0.628
UC1_UC2,T reticular,0.626
UC1_UC2,T reticular,0.633
UC1_UC2,T reticular,0.692
UC1_UC2,T reticular,0.653
UC1_UC2,Stromal 3 (C7+),0.475
UC1_UC2,Stromal 3 (C7+),0.503
UC1_UC2,Stromal 3 (C7+),0.333
UC1_UC2,Stromal 3 (C7+),0.326
UC1_UC2,Stromal 3 (C7+),0.353
UC1_UC2,Stromal 3 (C7+),0.638
UC1_UC2,Stromal 3 (C7+),0.66
UC1_UC2,Stromal 3 (C7+),0.447
UC1_UC2,Stromal 3 (C7+),0.46
UC1_UC2,Stromal 3 (C7+),0.447
UC1_UC2,Stromal 1 (CCL11+),0.483
UC1_UC2,Stromal 1 (CCL11+),0.501
UC1_UC2,Stromal 1 (CCL11+),0.493
UC1_UC2,Stromal 1 (CCL11+),0.489
UC1_UC2,Stromal 1 (CCL11+),0.761
UC1_UC2,Stromal 1 (CCL11+),0.492
UC1_UC2,Stromal 1 (CCL11+),0.546
UC1_UC2,Stromal 1 (CCL11+),0.547
UC1_UC2,Stromal 1 (CCL11+),0.481
UC1_UC2,Stromal 1 (CCL11+),0.488
UC1_UC2,myofibroblast (RSPO2+),0.5
UC1_UC2,myofibroblast (RSPO2+),0.4
UC1_UC2,myofibroblast (RSPO2+),0.707
UC1_UC2,myofibroblast (RSPO2+),0.771
UC1_UC2,myofibroblast (RSPO2+),0.415
UC1_UC2,myofibroblast (RSPO2+),0.625
UC1_UC2,myofibroblast (RSPO2+),0.458
UC1_UC2,myofibroblast (RSPO2+),0.446
UC1_UC2,myofibroblast (RSPO2+),0.54
UC1_UC2,myofibroblast (RSPO2+),0.408
UC1_UC2,Transitional Stromal 3 (C3+),0.75
UC1_UC2,Transitional Stromal 3 (C3+),0.75
UC1_UC2,Transitional Stromal 3 (C3+),0.7
UC1_UC2,Transitional Stromal 3 (C3+),1.0
UC1_UC2,Transitional Stromal 3 (C3+),0.7
UC1_UC2,Transitional Stromal 3 (C3+),0.7
UC1_UC2,Transitional Stromal 3 (C3+),0.75
UC1_UC2,Transitional Stromal 3 (C3+),0.75
UC1_UC2,Transitional Stromal 3 (C3+),0.75
UC1_UC2,Transitional Stromal 3 (C3+),0.833
UC1_UC2,myofibroblast,0.861
UC1_UC2,myofibroblast,0.772
UC1_UC2,myofibroblast,0.773
UC1_UC2,myofibroblast,0.782
UC1_UC2,myofibroblast,0.826
UC1_UC2,myofibroblast,0.859
UC1_UC2,myofibroblast,0.868
UC1_UC2,myofibroblast,0.831
UC1_UC2,myofibroblast,0.815
UC1_UC2,myofibroblast,0.859
UC1_UC2,arterial capillary,0.93
UC1_UC2,arterial capillary,0.93
UC1_UC2,arterial capillary,0.953
UC1_UC2,arterial capillary,0.944
UC1_UC2,arterial capillary,0.952
UC1_UC2,arterial capillary,0.944
UC1_UC2,arterial capillary,0.951
UC1_UC2,arterial capillary,0.944
UC1_UC2,arterial capillary,0.951
UC1_UC2,arterial capillary,0.938
UC1_UC3,BEST2+ Goblet cell,0.911
UC1_UC3,BEST2+ Goblet cell,0.912
UC1_UC3,BEST2+ Goblet cell,0.842
