dataset,celltype,pr_auc
UC1,Colonocyte,0.871
UC1,Colonocyte,0.871
UC1,Colonocyte,0.87
UC1,Colonocyte,0.87
UC1,Colonocyte,0.87
UC1,Colonocyte,0.87
UC1,Colonocyte,0.87
UC1,Colonocyte,0.87
UC1,Colonocyte,0.854
UC1,Colonocyte,0.885
UC1,TA,0.946
UC1,TA,0.957
UC1,TA,0.95
UC1,TA,0.948
UC1,TA,0.95
UC1,TA,0.95
UC1,TA,0.948
UC1,TA,0.949
UC1,TA,0.949
UC1,TA,0.945
UC1,BEST2+ Goblet cell,0.958
UC1,BEST2+ Goblet cell,0.957
UC1,BEST2+ Goblet cell,0.95
UC1,BEST2+ Goblet cell,0.96
UC1,BEST2+ Goblet cell,0.958
UC1,BEST2+ Goblet cell,0.959
UC1,BEST2+ Goblet cell,0.955
UC1,BEST2+ Goblet cell,0.961
UC1,BEST2+ Goblet cell,0.957
UC1,BEST2+ Goblet cell,0.958
UC1,Stromal 2 (NPY+),0.894
UC1,Stromal 2 (NPY+),0.896
UC1,Stromal 2 (NPY+),0.891
UC1,Stromal 2 (NPY+),0.891
UC1,Stromal 2 (NPY+),0.893
UC1,Stromal 2 (NPY+),0.87
UC1,Stromal 2 (NPY+),0.873
UC1,Stromal 2 (NPY+),0.868
UC1,Stromal 2 (NPY+),0.868
UC1,Stromal 2 (NPY+),0.88
UC1,Stromal 1 (ADAMDEC1+),0.969
UC1,Stromal 1 (ADAMDEC1+),0.966
UC1,Stromal 1 (ADAMDEC1+),0.967
UC1,Stromal 1 (ADAMDEC1+),0.962
UC1,Stromal 1 (ADAMDEC1+),0.964
UC1,Stromal 1 (ADAMDEC1+),0.964
UC1,Stromal 1 (ADAMDEC1+),0.965
UC1,Stromal 1 (ADAMDEC1+),0.964
UC1,Stromal 1 (ADAMDEC1+),0.963
UC1,Stromal 1 (ADAMDEC1+),0.965
UC1,Stromal 1 (CCL11+),0.935
UC1,Stromal 1 (CCL11+),0.934
UC1,Stromal 1 (CCL11+),0.939
UC1,Stromal 1 (CCL11+),0.935
UC1,Stromal 1 (CCL11+),0.925
UC1,Stromal 1 (CCL11+),0.924
UC1,Stromal 1 (CCL11+),0.92
UC1,Stromal 1 (CCL11+),0.92
UC1,Stromal 1 (CCL11+),0.923
UC1,Stromal 1 (CCL11+),0.922
UC1,BEST4+ epithelial,0.88
UC1,BEST4+ epithelial,0.891
UC1,BEST4+ epithelial,0.891
UC1,BEST4+ epithelial,0.886
UC1,BEST4+ epithelial,0.891
UC1,BEST4+ epithelial,0.89
UC1,BEST4+ epithelial,0.882
UC1,BEST4+ epithelial,0.895
UC1,BEST4+ epithelial,0.873
UC1,BEST4+ epithelial,0.888
UC1,Mature venous EC,0.97
UC1,Mature venous EC,0.97
UC1,Mature venous EC,0.957
UC1,Mature venous EC,0.97
UC1,Mature venous EC,0.969
UC1,Mature venous EC,0.955
UC1,Mature venous EC,0.955
UC1,Mature venous EC,0.955
UC1,Mature venous EC,0.95
UC1,Mature venous EC,0.964
UC1,T reticular,0.973
UC1,T reticular,0.975
UC1,T reticular,0.969
UC1,T reticular,0.968
UC1,T reticular,0.968
UC1,T reticular,0.972
UC1,T reticular,0.969
UC1,T reticular,0.972
UC1,T reticular,0.971
UC1,T reticular,0.966
UC1,arterial capillary,0.949
UC1,arterial capillary,0.949
UC1,arterial capillary,0.951
UC1,arterial capillary,0.95
UC1,arterial capillary,0.95
UC1,arterial capillary,0.949
UC1,arterial capillary,0.95
UC1,arterial capillary,0.944
UC1,arterial capillary,0.95
UC1,arterial capillary,0.947
UC1,Goblet cell,0.94
UC1,Goblet cell,0.944
UC1,Goblet cell,0.941
UC1,Goblet cell,0.942
UC1,Goblet cell,0.942
UC1,Goblet cell,0.943
UC1,Goblet cell,0.944
UC1,Goblet cell,0.937
UC1,Goblet cell,0.938
UC1,Goblet cell,0.938
UC1,Enterocyte,0.861
UC1,Enterocyte,0.851
UC1,Enterocyte,0.851
UC1,Enterocyte,0.847
UC1,Enterocyte,0.847
UC1,Enterocyte,0.849
UC1,Enterocyte,0.865
UC1,Enterocyte,0.86
UC1,Enterocyte,0.86
UC1,Enterocyte,0.863
UC1,Tuft,0.935
UC1,Tuft,0.95
UC1,Tuft,0.95
UC1,Tuft,0.95
UC1,Tuft,0.944
UC1,Tuft,0.944
UC1,Tuft,0.945
UC1,Tuft,0.948
UC1,Tuft,0.948
UC1,Tuft,0.943
UC1,Adult Glia,0.795
UC1,Adult Glia,0.789
UC1,Adult Glia,0.794
UC1,Adult Glia,0.79
UC1,Adult Glia,0.782
UC1,Adult Glia,0.783
UC1,Adult Glia,0.795
UC1,Adult Glia,0.792
UC1,Adult Glia,0.777
UC1,Adult Glia,0.792
UC1,myofibroblast,0.977
UC1,myofibroblast,0.975
UC1,myofibroblast,0.974
UC1,myofibroblast,0.975
UC1,myofibroblast,0.972
UC1,myofibroblast,0.977
UC1,myofibroblast,0.977
UC1,myofibroblast,0.971
UC1,myofibroblast,0.974
UC1,myofibroblast,0.971
UC1,IgA plasma cell,0.925
UC1,IgA plasma cell,0.925
UC1,IgA plasma cell,0.924
UC1,IgA plasma cell,0.928
UC1,IgA plasma cell,0.928
UC1,IgA plasma cell,0.925
UC1,IgA plasma cell,0.912
UC1,IgA plasma cell,0.913
UC1,IgA plasma cell,0.919
UC1,IgA plasma cell,0.913
UC1,Stromal 4 (MMP1+),1.0
UC1,Stromal 4 (MMP1+),0.998
UC1,Stromal 4 (MMP1+),0.996
